Complete / Partially Complete / Pending — Session Ledger,,,,,,,,,,,,
Status,Lane,Item,Enforcement_Level,Completed_Scope,Proof_Evidence,Remaining_Gap,Next_Action,Date,Notes,RCA_ID,CAUSE_TYPE,BLOCKED_BY
Partially Complete,Phase 1 Observability,PHASE_1_OBSERVABILITY split from U1 Audit,STRUCTURAL/EMPIRICAL MIXED,"Structured failure envelope exists for current QG path; PASS1/LLR diagnostic surface is improving, but diagnostics are not uniformly proven on every phase_1 failure class.",QG job 40b377de envelope true; PASS1/LLR baseline queried; prior PASS1 jobs had null diagnostics/envelope before patch path,Need fresh post-fix PASS1_FAILED proof with pipeline_failure_envelope populated and diagnostics as applicable.,Patch exact PASS1_FAILED markFailed route and run proof.,2026-04-27,Do not count phase_1 failures against U1 boundary enforcement.,RCA-PASS1-TOKEN-001,PROMPT_SCHEMA_BUDGET,Output surface reduction proof
Partially Complete,Dialogue Diagnostics,pipeline_failure_diagnostics propagation implemented but not empirically locked,STRUCTURAL ENFORCED / EMPIRICAL PENDING,qualityGate.ts attaches diagnostics; runPipeline carries failure_details; code structure exists.,Repo trace: QualityGateCheck.diagnostics; runPipeline.failure_details; types support diagnostics,Fresh post-deploy failure sample with non-null pipeline_failure_diagnostics still needed.,Force/reproduce post-fix diagnostic-bearing failure and query DB.,2026-04-27,Old 40b377de lacks diagnostics because it predates wiring.,RCA-DIALOGUE-GATE-001,GATE_LOGIC,Upstream reachability only
Partially Complete,Production Alignment Guard,Guard intentionally parked during dev,PARKED,Production Alignment Guard secrets were not configured by decision; dev work should not churn prod alignment settings.,Decision: leave Vercel/Supabase/GitHub prod guard secrets alone during dev,Will remain blind until production cutover.,"Record as PARKED, not failed.",2026-04-26,Revisit at launch/prod alignment phase.,,,
Completed,PASS1 Output Feasibility,Pass 1 prerequisite doctrine flip,RESOLVED,Workbook prerequisite flipped after PR #249 structural fix and validated U2 live proof closure run.,PR #249 + U2 proof validator pass (`logs/u2-live-proof/u2-proof-20260429T155922.validation.txt`),No active blocker for U2 closure sequencing.,Reopen only on fresh empirical PASS1 feasibility regression.,2026-04-29,Recorded as deliberate doctrine override before workbook flip; now reconciled.,RCA-PASS1-TOKEN-001,PROMPT_SCHEMA_BUDGET,None
Partially Complete,LLR,LLR_POST_STRUCTURAL_BLOCK observed as upstream blocker,OPEN,LLR_POST_STRUCTURAL_BLOCK appears in calibration as a pre-gate blocker separate from dialogue attribution gate.,5-run calibration; 7-day counts show 2 LLR_POST_STRUCTURAL_BLOCK,Requires separate RCA/calibration.,Triage LLR-004/LLR post-structural criteria and registry behavior.,2026-04-27,Keep separate from dialogue gate.,RCA-LLR-004-001,AMBIGUOUS,Classify subtype before fix
Pending,U2,U2 Fidelity / Propagation Enforcement,PENDING,Confidence/weakness signals are still not hard control-flow authority; summary/UI can overstate certainty.,PV115 critique; repo trace confirms static-ish confidence and warning-only low-confidence behavior,Primary next block.,Implement U2 single PR in commit order: schema/types → qualityGate → runPipeline → Pass3 anti-washing → persistence trace → UI → tests.,2026-04-27,This is the Monday first task.,RCA-ATOMIC-PERSISTENCE-001,DB_RPC,None
Pending,Pass 3,Anti-washing synthesis constraint,PENDING,Pass 3 can sound cleaner/more confident than the score and evidence profile supports.,PV115: positive summary while pacing/theme/closure are weak,Needs deterministic gate/signal.,Require summary to reference at least one bottom-scoring weakness.,2026-04-27,Part of U2 PR.,,,
Pending,UI Authority,Warning/high-confidence banner fusion,PENDING,UI authority is not yet fully bound to confidence topology and propagation severity.,warningClassification.ts trace,Needs update/test.,Block high-confidence banner when artifact PASS conflicts with low/mixed/weak confidence.,2026-04-27,Part of U2 PR.,,,
Pending,Golden Fixture,PV115 golden fidelity fixture,PENDING,"PV115 should prove that meta-fiction, Mexico parallel, dogs/environmental signaling, river force imagery, and deliberate withholding cannot be missed while confidence stays high.",Evaluation No. 3 critique,Fixture not yet implemented.,"Add fixture-driven test; if those signals are missed, confidence cannot remain high.",2026-04-27,"Golden fixture supports fidelity, not just schema.",,,
Pending,Pass 1,Output-surface reduction,PENDING,Pass 1 asks for too much output: likely too many anchors/rationales/recommendations/schema fields for long manuscripts.,PASS1_FAILED finish_reason=length at 3500 completion tokens,Needs design + test.,Measure prompt; remove recommendations/deep rationale from Pass 1; cap evidence to 0–1; shift depth to Pass 2/3.,2026-04-27,"Quality-first fix is output reduction, not optimism.",RCA-PASS1-TOKEN-001,PROMPT_SCHEMA_BUDGET,Output surface reduction proof
Pending,Prompt Depth,Reasoning depth improvements after U2,PENDING,"Prompts need explicit craft dimensions: meta-fiction, parallel structures, animal/environmental signaling, withholding, cultural texture.",PV115 critique,Should follow U2 truth-control layer.,Update pass1-craft.ts and pass2-editorial.ts after U2 enforcement.,2026-04-27,Prompt depth without U2 can create polished overclaiming.,,,
Pending,U3,Contradiction detection / Gate 15.2,PENDING,Contradictions can still remain unresolved and clean/high-confidence.,Existing U3 roadmap,Not implemented.,Build detector/taxonomy/artifact fields/gate/UI after U2.,2026-04-27,Still part of remaining 7 open rows.,,,
Completed,U2 Fidelity,RCA-U2-003 derived confidence,RESOLVED,Deterministic confidence derivation now closed by live persisted artifact proof and validator pass.,`logs/u2-live-proof/u2-proof-20260429T155922.json` + `.validation.txt`,None for RCA-U2-003 closure lane.,Proceed with RCA-U2-004 then downstream U2 sequence.,2026-04-29,Private-beta report wall handled with canonical artifact verification path.,RCA-U2-003,,
Completed,U2 Fidelity,RCA-U2-006 evidence anchor enforcement,RESOLVED,Anchor-enforcement lane closed with live persisted artifact proof and validator pass.,`logs/u2-live-proof/u2-proof-20260429T155922.json` + `.validation.txt`,None for RCA-U2-006 closure lane.,Proceed with RCA-U2-002 and remaining U2 RCAs.,2026-04-29,"Scope preserved: anchor/citation enforcement evidence captured without widening RCA boundaries.",RCA-U2-006,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
