CURRENT_STATE — 17 / 23 ENFORCED,,,,,,,,,,
#,System Row,Level,Proof / Evidence,Current Meaning,Remaining Gap,Next Action,Date,RCA_ID,CAUSE_TYPE,BLOCKED_BY
14,Canonical runtime authority guard,ENFORCED,spine/docs runtime guards green,Docs/runtime authority remains aligned.,None.,Preserve.,2026-04-26,,,
15,Dialogue Attribution Gate V2,ENFORCED — gate-level,Post-fix reachable runs show no QG_DIALOGUE_ATTRIBUTION_UNDERAUDITED recurrence,Gate logic no longer lexical-only.,Upstream reachability still constrained.,Do not conflate Pass1/LLR with dialogue gate.,2026-04-27,RCA-DIALOGUE-GATE-001,GATE_LOGIC,Upstream reachability only
16,Pipeline failure envelope surface,ENFORCED,Current QG job has failed_at/pass4 and pipeline_stage/pass4 envelope,Failure modes are queryable by job ID.,Diagnostics proof separate.,Use for triage queries.,2026-04-27,,,
17,Quality gate diagnostics propagation,STRUCTURAL ENFORCED / EMPIRICAL PENDING,"Code supports diagnostics, but fresh runtime non-null diagnostics still pending",Diagnostics are wired but not fully runtime-locked.,Need post-fix diagnostic-bearing failure.,Run targeted failure proof.,2026-04-27,RCA-FAILURE-ENVELOPE-001,OBSERVABILITY,Fresh non-null diagnostics sample
18,PHASE_1_OBSERVABILITY,PARTIAL,Phase1 failures separated from U1; PASS1/LLR baseline available,"Phase1 trace is a distinct row, not a boundary defect.",Need fresh PASS1 envelope/diagnostics proof after exact catch-site patch.,Patch markFailed route and smoke.,2026-04-27,,,
19,PASS_1_OUTPUT_FEASIBILITY,FAILED / OPEN,PASS1_FAILED finish_reason=length at 3500 completion tokens,System can be correct but unreachable on long inputs.,Root fix not implemented.,Measure footprint and reduce output surface.,2026-04-27,,,
20,LLR_POST_STRUCTURAL_BLOCK,AMBIGUOUS,Observed in calibration and 7-day baseline,Separate pre-gate blocker exists.,Subtype not classified yet; must not be treated as model-only failure.,Capture failing Pass2 payload; classify subtype; move AMBIGUOUS → RESOLVED only after subtype is proven.,2026-04-27,RCA-LLR-004-001,AMBIGUOUS,Failing Pass2 payload classification
21,U2 Fidelity / Propagation,NOT_READY,"PV115 moved to VERIFICATION_ARTIFACTS as proof fixture, not RCA.",Fixture validates U2 closures on real signals.,Not executable as RCA; depends on U2 RCA closures.,Track in VERIFICATION_ARTIFACTS; run after U2 gate surfaces exist.,2026-04-27,PV115-GOLDEN-FIXTURE,VERIFICATION_ARTIFACT,RCA-U2-001; RCA-U2-002; RCA-U2-004; RCA-U2-005; RCA-U2-006
22,U3 contradiction detection,PENDING,Existing roadmap lane,Contradiction logic not implemented.,Pending after U2.,Schedule after U2.,2026-04-27,,,
23,PV115 golden fidelity fixture,PENDING,Evaluation No. 3 critique,No golden fixture yet locks missed craft signals.,Fixture not implemented.,Add to U2 test suite.,2026-04-27,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
31,U2 Confidence derivation,PARTIAL — REMOTE IMPLEMENTATION / LIVE_PROOF_PENDING,Remote branch includes commit 8ecdde70 with deterministic confidence implementation; focused local tests green. Live server/API artifact proof is still pending.,"Confidence derivation is implemented and pushed, but not RESOLVED under doctrine until live proof shows governance.confidence_label + confidence_reasons in persisted/API artifact.",Live proof missing.,"Run U2 closure proof; capture governance.confidence_label, confidence_reasons, propagation_summary, and progress.gate_enforcement.",2026-04-28,RCA-U2-003,SYSTEM,LIVE_PROOF_PENDING
32,U2 Propagation layer,NOT_STARTED,RCA-U2-004 inserted,Per-criterion weakness must propagate to artifact authority.,Depends on derived confidence.,Close RCA-U2-004 after U2-003.,2026-04-27,RCA-U2-004,SYSTEM,RCA-U2-003
33,U2 Score-confidence enforcement,NOT_STARTED,RCA-U2-001 inserted,Low confidence must constrain score authority.,Depends on derived confidence.,Close RCA-U2-001 after U2-003.,2026-04-27,RCA-U2-001,SYSTEM,RCA-U2-003
34,U2 Evidence anchor enforcement,PARTIAL — REMOTE IMPLEMENTATION / LIVE_PROOF_PENDING,Remote branch includes commit 8ecdde70 with runPass2 NO_TEXTUAL_ANCHOR/anchor enforcement and runPass2.anchor-enforcement.test.ts; focused local tests green.,"Anchor enforcement is implemented and pushed, but not RESOLVED until live/real-path proof shows reason_codes / NO_TEXTUAL_ANCHOR behavior when applicable.",Live proof missing.,Run U2 closure proof; capture anchor-enforcement reason codes and persisted/API artifact evidence.,2026-04-28,RCA-U2-006,MODEL + SYSTEM,LIVE_PROOF_PENDING
35,U2 Summary anti-washing,NOT_STARTED,RCA-U2-002 inserted,Pass3 summary must not smooth lowest-scoring weakness away.,Depends on evidence anchor enforcement.,Close RCA-U2-002 after U2-006.,2026-04-27,RCA-U2-002,SYSTEM,RCA-U2-006
36,U2 UI authority lock,NOT_STARTED,RCA-U2-005 inserted,Report UI must not show high-confidence authority on weak/mixed artifact.,Depends on propagation layer.,Close RCA-U2-005 after U2-004.,2026-04-27,RCA-U2-005,SYSTEM,RCA-U2-004
37,BOUNDARY_VALIDATION_SHAPE_GAP,RESOLVED,Live SQL evidence: complete job 533a77a5-11cd-4b06-9167-41332cd12390 has progress.gate_enforcement populated; artifact_schema=evaluation_result_v2; completed_at=2026-04-27T04:26:09.436+00:00.,"Boundary raw-shape concern resolved; prior gate_enforcement:null confusion was a query-shape issue (top-level column vs progress JSONB), not a code defect.",None.,Keep regression and query progress->'gate_enforcement' for future live checks.,2026-04-27,RCA-BOUNDARY-SHAPE-001,PROOF_GAP_CLOSED,NONE
,,,,,,,,,,
,,,,,,,,,,
