artifact,producerStageId,consumerStageIds,requiredFields,completenessMetric,accuracyMetric,dirtyDataRule,regenerationOwnerStageId,requiredForAuthorExposure,fitGapStatus
pass1a_story_layer_v1,S05_PASS1,ADJACENT_SEMANTIC_GATE; ADJACENT_REVIEW_GATE,story_layers,9 layers present,layers consistent with full context story ledger,degraded canonical identity suppresses dependent layers,S05_PASS1,true,ok
ledger_quality_report_v1,ADJACENT_SEMANTIC_GATE,ADJACENT_REVIEW_GATE,gate_ready_status; layer_statuses,all visible layers classified,repair_required cannot be treated as clean pass,repair_required must kick or explicitly degrade,ADJACENT_SEMANTIC_GATE,true,critical
accepted_story_ledger_v1,ADJACENT_REVIEW_GATE,S06_PASS2; S07_PASS3; ADJACENT_REVISION_LEDGER,source_artifacts; approval; story_layer; governance,all visible layers have review decision,failed/degraded layers are not rendered as clean,auto_accepted degraded ledger without proof blocks long-form certification,ADJACENT_REVIEW_GATE,true,critical
pass1_chunk_cache_v1,S05_PASS1,S06b_HANDOFF_GATE,criteria; evidence,all chunks represented,evidence anchors trace to manuscript,missing evidence anchor kicks back to Pass 1,S05_PASS1,false,ok
pass2_chunk_cache_v1,S06_PASS2,S06b_HANDOFF_GATE,criteria; diagnostics; recommendations,all chunks represented,recommendations are specific and evidence-backed,generic recommendation kicks back to Pass 2,S06_PASS2,false,ok
pass12_handoff_v1,S06b_HANDOFF_GATE,S07_PASS3,certified_payload; prose_quality_certification,Pass 1 and Pass 2 payloads present,"no scaffold residue, broken modal, or generic language",handoff gate failure blocks Pass 3,S06b_HANDOFF_GATE,false,gap
pass3_preflight_draft_v1,S07_PASS3,S07_PASS3; ADJACENT_SEMANTIC_GATE,reducer_status; observations,observation_count > 0 when manuscript text exists,reducer_status ok for valid input,all_chunks_failed kicks back to routing/chunk synthesis,S07_PASS3,false,ok
pass3_synthesis_v1,S07_PASS3,S08_ER2_NORMALIZATION; ADJACENT_WAVE,overview; criteria; recommendations,all required synthesis fields present,recommendations preserve strong criteria and canonical names,missing submission_readiness or banned name kicks back to Pass 3,S07_PASS3,false,critical
evaluation_result_v2,S08_ER2_NORMALIZATION,S09_QUALITYGATEV2; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_WAVE; ADJACENT_DREAM; ADJACENT_REVISION_LEDGER; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,schema_version; overview; criteria; metrics; enrichment,13 canonical criteria and required overview fields populated,"single source of truth for score, genre, confidence, criteria, entity names",contamination or undefined required fields block author exposure,S08_ER2_NORMALIZATION,true,critical
quality_gate_diagnostics_v1,S09_QUALITYGATEV2,S10_PERSISTENCE; ADJACENT_FINAL_EXTERNAL_AUDIT,verdict; failed_check_ids; diagnostics,all deterministic checks reported,fail verdict prevents persistence/release,detection without enforcement is a defect,S09_QUALITYGATEV2,true,gap
evaluation_artifact_row,S10_PERSISTENCE,S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_WAVE; ADJACENT_DREAM,job_id; artifact_type; artifact_version; content,content persisted atomically,artifact_type matches artifact_version and content schema,invalid artifact row blocks release,S10_PERSISTENCE,true,gap
wave_revision_plan_v1,ADJACENT_WAVE,ADJACENT_DREAM; ADJACENT_FINAL_EXTERNAL_AUDIT; ADJACENT_REVISION_LEDGER; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,derived_wave_ids; ordered_wave_ids; modules_run; modules_with_findings,derived_wave_ids non-empty when findings exist,waves map to canonical criteria and score bands,generic fallback only blocks Phase 5 for long-form,ADJACENT_WAVE,true,gap
gate_15_audit_v1,ADJACENT_CANON_GOVERNANCE,ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,overallStatus; mechanical_purity_metrics,all Gate 15 checks run or explicitly skipped with reason,FAIL verdict prevents unqualified author release,Gate 15 FAIL blocks or prominently gates release,ADJACENT_CANON_GOVERNANCE,true,critical
golden_spine_v1,ADJACENT_CANON_GOVERNANCE,ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,continuityScore; motif_payoff_ratio,motifs/objects tracked and scored,"weak continuity surfaced, not hidden",weak spine must be surfaced or block releasability depending severity,ADJACENT_CANON_GOVERNANCE,true,gap
dialogue_canon_audit_v1,ADJACENT_CANON_GOVERNANCE,ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,dialogueStatus; detected_dialogue_lines; speaker_attribution,dialogue count proportional to dialogue/narrative ratio,detector consumes same manuscript text as dialogue ratio calculation,impossible dialogue count blocks Phase 5 until rerun/fixed,ADJACENT_CANON_GOVERNANCE,true,critical
revision_canon_metadata_v1,ADJACENT_CANON_GOVERNANCE,ADJACENT_FINAL_EXTERNAL_AUDIT; ADJACENT_REVISION_LEDGER,overallStatus; cross_references,"Gate 15, Golden Spine, Dialogue Canon cross-referenced",metadata reflects actual audit artifacts,missing cross-reference degrades Revise eligibility,ADJACENT_CANON_GOVERNANCE,false,ok
longform_document_v1,ADJACENT_DREAM,ADJACENT_FINAL_EXTERNAL_AUDIT; S11b_DOWNLOAD_PIPELINE; ADJACENT_REVISION_LEDGER; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,schema_version; criteria; market_shelf; revision_plan,all long-form sections generated,no score/genre/entity drift from evaluation_result_v2,DREAM contamination or drift blocks Phase 5,ADJACENT_DREAM,true,critical
final_external_audit_v1,ADJACENT_FINAL_EXTERNAL_AUDIT,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,verdict; blocking; codes; checked_artifacts,hard-required artifacts checked,BLOCK verdict blocks author exposure,BLOCK cannot be advisory only,ADJACENT_FINAL_EXTERNAL_AUDIT,true,critical
author_exposure_certification_v1,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_REVISION_LEDGER,decision; certified_at; blocking_reasons; parity_results,all author-visible fields certified,no report visible unless decision=certified,uncertified output is not author-visible,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,true,critical
report_render_manifest_v1,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE,field_sources; renderer_parity; unified_document_hash,all registered render fields have source and parity result,all renderers consume the same UnifiedEvaluationDocument hash,renderer-local derivation blocks release,S10b_PHASE5_AUTHOR_EXPOSURE_GATE,true,critical
webpage_projection_v1,S11a_RENDERER_WEBPAGE,end_user,rendered_fields; source_marker,all registered fields rendered or explicitly N/A,field values equal UnifiedEvaluationDocument,any drift blocks webpage exposure,S11a_RENDERER_WEBPAGE,true,critical
pdf_projection_v1,S11b_DOWNLOAD_PIPELINE,end_user,rendered_fields; source_marker,all registered fields rendered or explicitly N/A,field values equal UnifiedEvaluationDocument,any drift blocks PDF download,S11b_DOWNLOAD_PIPELINE,true,gap
docx_projection_v1,S11b_DOWNLOAD_PIPELINE,end_user,rendered_fields; source_marker,all registered fields rendered or explicitly N/A,field values equal UnifiedEvaluationDocument,any drift blocks DOCX download,S11b_DOWNLOAD_PIPELINE,true,gap
txt_projection_v1,S11b_DOWNLOAD_PIPELINE,end_user,rendered_fields; source_marker,all registered fields rendered or explicitly N/A,field values equal UnifiedEvaluationDocument,any drift blocks TXT download,S11b_DOWNLOAD_PIPELINE,true,gap
revision_opportunity_ledger_v1,ADJACENT_REVISION_LEDGER,ADJACENT_REVISE,opportunity_id; finding_id; criterion; evidence_anchor; revision_operation,every opportunity has evidence and source location,"items derive from evaluation evidence, not new diagnosis",empty/evidence-free ledger blocks Revise admission,ADJACENT_REVISION_LEDGER,false,gap
revise_queue_items_v1,ADJACENT_REVISE,Revise Workbench,opportunity_id; author_decision_state; candidate_repairs,Ready and Needs Targeting classified,A/B/C candidate prose is actual manuscript-ready text,Revise rerun or generic repairs block admission,ADJACENT_REVISE,false,gap
revision_ledger_decisions,ADJACENT_REVISE,Revise Workbench; TrustedPath,opportunity_id; decision; decided_at,every author decision persisted,no generated rewrite overwrites original without decision,missing author decision blocks TrustedPath,ADJACENT_REVISE,false,gap
