authorityId,family,title,path,appliesToStageIds,appliesToArtifacts,runtimeBinding,surfacedInSipocUi,executionUse,notes
DREAM_LAYERED_FORMAT_TEMPLATE,template,DREAM Long-Form Layered Format Template,docs/benchmarks/templates/dream-longform-layered-template.md,ADJACENT_DREAM; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,longform_document_v1; evaluation_template_contract_v1,template,true,Reusable format template for multi-layer / multi-voice long-form benchmark evaluations.,Must stay aligned with the canonical long-form multi-layer evaluation template.
RECOMMENDATION_INTEGRITY_DREAM_STANDARD,gold_standard,Recommendation Integrity Dream Standard,docs/gold-standards/recommendation-integrity-dream-standard.md,S06b_HANDOFF_GATE; S07_PASS3; S09_QUALITYGATEV2; ADJACENT_REVISION_LEDGER; ADJACENT_REVISE,pass12_handoff_v1; pass3_synthesis_v1; quality_gate_diagnostics_v1; revision_opportunity_ledger_v1; revise_queue_items_v1,binding,true,Quality bar for author-facing recommendations and revision opportunities.,Recommendation is the product; weak/generic recommendations must be quarantined.
LENGTH_POLICY_GOVERNANCE,governance,Length Policy Governance — Cap/Overage/Minimum + No Mid-Sentence Truncation,docs/gold-standards/length-policy-governance.md,S07_PASS3; S08_ER2_NORMALIZATION; S09_QUALITYGATEV2,pass3_synthesis_v1; quality_gate_diagnostics_v1,binding,true,"Deterministic three-part length policy (MIN floor / BASE / hard CAP, integers only, no percentages). Over-CAP author prose is trimmed only at a complete-sentence boundary (never mid-sentence, never mid-word). Below MIN triggers INSUFFICIENT_EXPLANATION regeneration; content is never padded or fabricated.","Source of truth: lib/config/lengthPolicy.ts. NO_MIDSENTENCE_TRUNCATION is a code-enforced invariant (trimAtSentenceBoundary), proven by unit tests, not a kick-mapped runtime failure. ""More is more"": overage above base is allowed up to the hard cap and never trimmed back toward base to hit a number."
REVISE_QUEUE_RENDERING_EXEMPLARS,exemplar,Revise Queue Rendering Exemplars,docs/gold-standards/revise-queue-rendering-exemplars.md,ADJACENT_REVISION_LEDGER; ADJACENT_REVISE,revision_opportunity_ledger_v1; revise_queue_items_v1,reference,true,Author-facing Revise Queue rendering exemplars for UI/output acceptance.,"Exemplar docs should be visible in SIPOC UI as review references, not hidden implementation lore."
SISTER_REVISE_QUEUE_DREAM_LEDGER,gold_standard,SISTER Revise Queue DREAM Ledger,docs/gold-standards/sister-revise-queue-dream-ledger.md,ADJACENT_REVISION_LEDGER; ADJACENT_REVISE,revision_opportunity_ledger_v1; revise_queue_items_v1; revision_ledger_decisions,calibration,true,"Gold-standard Revise ledger reference for opportunity quality, author decision state, and TrustedPath handoff.",Supports evaluation-to-Revise handoff certification.
DREAM_OUTPUT_SPEC,governance,DREAM Output Specification,docs/governance/DREAM_OUTPUT_SPEC.md,ADJACENT_DREAM; ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,longform_document_v1; final_external_audit_v1; unified_evaluation_document_v1,binding,true,"Governance contract for DREAM output completeness, artifact boundaries, and non-competition with canonical evaluation data.",General DREAM output authority paired with the long-form-specific spec.
SEED_PHASE_TEMPLATE_ALIGNMENT_CONTRACT,governance,Seed Phase Template Alignment Contract,docs/governance/seed-phase-template-alignment-contract.md,ADJACENT_PHASE_0_5A; ADJACENT_PHASE_0_5B; ADJACENT_SEED_COMPLETENESS_GATE,story_map_seed_v1; revise_opportunity_seed_v1; seed_fit_gap_report_v1,binding,true,Governance source for seed-phase template alignment and completeness before downstream evaluation stages consume seeds.,Seed contracts must surface because weak seed alignment causes downstream SIPOC drift.
PHASE_2_CALIBRATION_TEMPLATE,governance,Phase 2 Calibration Template,docs/governance/phase-2-calibration-template.md,S06_PASS2,pass2_chunk_cache_v1,calibration,true,Calibration reference for Pass 2 craft diagnosis expectations and repeatable adjudication.,Pass 2 output quality is a SIPOC dependency for Pass 3 synthesis and recommendation integrity.
GOLDEN_SPINE_CANON,canon,Golden Spine Canon,docs/GOLDEN_SPINE.md,ADJACENT_CANON_GOVERNANCE; ADJACENT_FINAL_EXTERNAL_AUDIT; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,golden_spine_v1; final_external_audit_v1; author_exposure_certification_v1,binding,true,Canon authority for Golden Spine governance checks and Phase 5 blocking decisions when continuity truth affects author-facing output.,"Golden Spine defects are governance inputs, not renderer-local interpretations."
NORMALIZED_GOLD_STANDARD_ACCEPTANCE_COMPARATOR,canon,Normalized Gold Standard Canonical Acceptance Comparator,docs/canon/intake/_md/Normalized Gold Standard CANONICAL ACCEPTANCE COMPARATOR v1.md,ADJACENT_PHASE_0; S09_QUALITYGATEV2; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,phase0_calibration_baseline_v1; quality_gate_diagnostics_v1; author_exposure_certification_v1,calibration,true,Canonical acceptance comparator for evaluation correctness and governance-grade verification.,"Canon comparators are explicit SIPOC authority sources, not hidden test fixtures."
VERIFICATION_GOLD_STANDARD,gold_standard,Verification Gold Standard,docs/VERIFICATION_GOLD_STANDARD.md,S09_QUALITYGATEV2; S10_PERSISTENCE; S10b_PHASE5_AUTHOR_EXPOSURE_GATE,quality_gate_diagnostics_v1; evaluation_artifact_row; author_exposure_certification_v1,reference,true,"Verification reference for proof quality, auditability, and release confidence.",Gold-standard verification language must be visible to reviewers and execution planning.
SURFACE_PARITY_MATRIX_REFERENCE,reference,Evaluation Surface Parity Matrix,docs/templates/evaluation/surface-parity-matrix.md,S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE,unified_evaluation_document_v1; report_render_manifest_v1; webpage_projection_v1; pdf_projection_v1; docx_projection_v1; txt_projection_v1,reference,true,"Reference matrix for field parity across webpage, PDF, DOCX, TXT, and print-friendly surfaces.",Renderer parity must be evidence-backed and release-blocking when author-facing truth diverges.
EXECUTABLE_FIPOC_REGISTRY,registry,Executable FIPOC Registry,lib/evaluation/fipocRegistry.ts,ADJACENT_PHASE_0; S10b_PHASE5_AUTHOR_EXPOSURE_GATE; S11a_RENDERER_WEBPAGE; S11b_DOWNLOAD_PIPELINE; ADJACENT_REVISION_LEDGER,evaluation_template_contract_v1; unified_evaluation_document_v1; author_exposure_certification_v1; report_render_manifest_v1; revision_opportunity_ledger_v1,binding,true,"Machine-checkable registry source for stages, artifacts, fields, kicks, renderers, and authority sources.",CSV mirrors are generated from this registry and must not become independent truth sources.
